Longitude (x),Latitude (y),Year,Month,Day,Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather,Is Row Missing Value,% Of Dataset That Contains Missing Values
-79.4,43.63,2020,1,3,07:00:00,3.9,3.2,95,22,11,16.1,99.64,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,08:00:00,5,3.8,92,27,9,16.1,99.69,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,09:00:00,5.4,3.4,87,27,9,16.1,99.8,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,10:00:00,5.8,3.8,87,26,11,16.1,99.85,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,11:00:00,5.1,3.6,90,23,13,16.1,99.87,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,12:00:00,7.1,3.4,77,27,15,16.1,99.79,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,13:00:00,6.9,2.9,75,27,13,16.1,99.75,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,14:00:00,7.1,2.4,72,28,18,16.1,99.77,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,15:00:00,6.8,1.5,69,28,24,16.1,99.86,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,16:00:00,6.4,1.3,70,26,17,16.1,99.87,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,17:00:00,6.3,0.8,68,29,17,16.1,99.9,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,18:00:00,6.1,0.8,69,27,15,16.1,100,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,19:00:00,6,-0.4,64,29,11,16.1,100.07,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,20:00:00,5.4,0.2,69,32,15,16.1,100.1,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,21:00:00,5.1,0.3,71,33,8,16.1,100.1,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,22:00:00,4.6,-0.6,69,36,17,16.1,100.04,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,23:00:00,4.5,-1,68,1,9,16.1,100.07,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,00:00:00,4.1,-1.3,68,35,13,16.1,99.98,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,01:00:00,3.9,-1.3,69,35,13,16.1,99.96,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,02:00:00,3.3,-1.2,72,2,15,16.1,99.93,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,03:00:00,3.3,-1.9,69,35,15,16.1,99.97,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,04:00:00,2.6,-1.6,74,5,13,16.1,99.94,Rain,,
-79.4,43.63,2020,1,4,05:00:00,0.9,-0.3,92,9,8,8.1,99.94,Snow,,
-79.4,43.63,2020,1,4,06:00:00,0.3,-0.1,97,10,5,2.8,99.92,Snow,,
-79.4,43.63,2020,1,4,07:00:00,0.4,0.1,98,9,8,4.8,99.91,Snow,,
-79.4,43.63,2020,1,4,08:00:00,0.5,-0.1,96,27,5,6.4,99.95,Snow,,
-79.4,43.63,2020,1,4,09:00:00,1.1,-0.7,88,30,11,16.1,99.95,"Rain,Snow",,
-79.4,43.63,2020,1,4,10:00:00,1.4,-0.8,85,31,9,16.1,100.02,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,11:00:00,2,-1.1,80,30,9,16.1,99.97,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,12:00:00,2.3,-0.1,84,25,13,16.1,99.87,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,13:00:00,2.5,-0.9,78,27,17,16.1,99.8,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,14:00:00,2.7,-1.4,74,29,11,16.1,99.74,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,15:00:00,3,-2.8,66,29,30,16.1,99.72,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,16:00:00,2.9,-3.3,64,28,18,16.1,99.77,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,17:00:00,2.4,-3.5,65,29,21,16.1,99.84,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,18:00:00,2.4,-2.9,68,28,24,16.1,99.92,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,19:00:00,1.9,-2.5,73,28,21,16.1,99.98,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,20:00:00,0.9,-1.3,85,30,15,11.3,100.04,Rain,,
-79.4,43.63,2020,1,4,21:00:00,0.6,-1.3,87,30,13,4.8,100.06,Snow,,
-79.4,43.63,2020,1,4,22:00:00,1,-3,75,31,15,16.1,100.06,No Precipitation or Fog,,
-79.4,43.63,2020,1,4,23:00:00,1,-4.9,65,30,22,16.1,100.08,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,00:00:00,0.9,-4.7,66,30,18,16.1,100.1,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,01:00:00,0.4,-5.4,65,29,21,16.1,100.16,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,02:00:00,0.6,-6.3,60,29,22,16.1,100.21,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,03:00:00,0.4,-5.4,65,28,24,16.1,100.32,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,04:00:00,0.3,-4.6,70,29,21,16.1,100.38,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,05:00:00,0.3,-4.4,71,29,18,16.1,100.44,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,06:00:00,0,-5.2,68,29,24,16.1,100.52,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,07:00:00,-0.2,-5.3,69,28,15,16.1,100.6,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,08:00:00,-0.7,-6.9,63,27,17,16.1,100.69,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,09:00:00,-0.3,-6.9,61,28,17,16.1,100.78,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,10:00:00,0.1,-6.4,62,29,18,16.1,100.84,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,11:00:00,0.8,-5.4,63,27,18,16.1,100.8,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,12:00:00,1,-4.1,69,27,17,16.1,100.69,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,13:00:00,1.1,-3.7,70,26,17,16.1,100.62,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,14:00:00,1.1,-3.2,73,26,13,16.1,100.58,Rain,,
-79.4,43.63,2020,1,5,15:00:00,1.2,-2.9,74,23,8,16.1,100.51,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,16:00:00,1.2,-2.8,75,24,17,16.1,100.43,Rain,,
-79.4,43.63,2020,1,5,17:00:00,1.6,-4.2,65,24,13,16.1,100.38,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,18:00:00,0.9,-3.6,72,23,21,16.1,100.39,No Precipitation or Fog,,
-79.4,43.63,2020,1,5,19:00:00,-0.1,-1.9,88,23,24,2.8,100.37,Snow,,
-79.4,43.63,2020,1,5,20:00:00,-0.2,-0.8,96,22,22,1.6,100.33,Snow,,
-79.4,43.63,2020,1,5,21:00:00,0,-0.4,97,21,30,1.2,100.23,Snow,,
-79.4,43.63,2020,1,5,22:00:00,0.3,-0.4,95,19,24,2.4,100.08,Snow,,
-79.4,43.63,2020,1,5,23:00:00,0.6,-0.6,92,18,22,9.7,99.97,Snow,,
-79.4,43.63,2020,1,6,00:00:00,1.1,-0.2,91,19,17,16.1,99.85,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,01:00:00,1.6,0.3,91,20,18,16.1,99.73,Rain,,
-79.4,43.63,2020,1,6,02:00:00,2,0.5,90,23,28,16.1,99.71,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,03:00:00,1.8,0.3,90,24,32,16.1,99.76,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,04:00:00,1.7,0.5,92,23,28,16.1,99.8,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,05:00:00,2,-0.8,82,25,28,16.1,99.85,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,06:00:00,2.1,-1,80,26,28,16.1,99.9,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,07:00:00,2.2,-1.4,77,26,35,16.1,99.96,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,08:00:00,1.7,-1.7,78,26,30,16.1,100.06,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,09:00:00,1.6,-1.7,79,26,34,16.1,100.17,Rain,,
-79.4,43.63,2020,1,6,10:00:00,1.7,-2.1,76,26,30,16.1,100.27,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,11:00:00,2,-5.1,60,27,34,16.1,100.31,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,12:00:00,2.1,-3.5,67,26,37,16.1,100.27,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,13:00:00,2,-5.7,57,27,41,16.1,100.22,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,14:00:00,1.8,-5,61,25,41,16.1,100.22,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,15:00:00,2.2,-4.8,60,24,24,16.1,100.2,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,16:00:00,2.3,-3.9,64,25,34,16.1,100.23,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,17:00:00,2.7,-4.4,59,25,35,16.1,100.2,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,18:00:00,3,-4.6,58,27,41,16.1,100.25,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,19:00:00,1.9,-7.3,51,29,32,16.1,100.42,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,20:00:00,0.8,-8.6,50,29,24,16.1,100.51,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,21:00:00,0.3,-8.2,53,27,22,16.1,100.54,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,22:00:00,0,-7.8,56,27,21,16.1,100.58,No Precipitation or Fog,,
-79.4,43.63,2020,1,6,23:00:00,-0.4,-7,61,26,21,16.1,100.61,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,00:00:00,-0.3,-5.9,66,25,22,16.1,100.64,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,01:00:00,-0.6,-5.8,68,26,22,16.1,100.66,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,02:00:00,-0.8,-6.8,64,25,18,16.1,100.69,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,03:00:00,-0.6,-6.1,67,24,21,16.1,100.72,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,04:00:00,-1.1,-5,75,25,17,16.1,100.68,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,05:00:00,-1.6,-5.3,76,26,17,16.1,100.66,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,06:00:00,-2.1,-6.1,74,30,8,16.1,100.63,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,07:00:00,-1.8,-6,73,28,5,16.1,100.59,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,08:00:00,-2.6,-5.1,83,4,4,16.1,100.54,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,09:00:00,-0.7,-3.2,83,12,5,16.1,100.5,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,10:00:00,0.6,-2,83,25,21,16.1,100.59,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,11:00:00,1.2,-2.9,74,25,13,16.1,100.53,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,12:00:00,1.4,-2.9,73,22,11,16.1,100.42,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,13:00:00,1.9,-1.9,76,23,9,16.1,100.28,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,14:00:00,2.5,-0.6,80,21,11,16.1,100.22,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,15:00:00,3.1,-0.1,80,21,21,16.1,100.2,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,16:00:00,3.5,0.4,80,20,18,16.1,100.18,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,17:00:00,2.9,0.3,83,19,18,16.1,100.16,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,18:00:00,3,0.4,83,19,21,16.1,100.13,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,19:00:00,2.8,-0.1,81,20,22,16.1,100.09,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,20:00:00,2.5,0,84,22,26,16.1,100.04,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,21:00:00,2.4,-1,78,25,24,16.1,100.02,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,22:00:00,1.9,-1.2,80,26,26,16.1,100.02,No Precipitation or Fog,,
-79.4,43.63,2020,1,7,23:00:00,1.5,-1.4,81,25,24,16.1,99.99,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,00:00:00,0.8,-2.1,81,26,11,16.1,99.97,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,01:00:00,0.5,-3.1,77,28,13,16.1,99.92,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,02:00:00,0.7,-2.5,79,24,24,16.1,99.92,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,03:00:00,0.2,-2.1,85,28,24,4.8,99.97,"Rain,Snow",,
-79.4,43.63,2020,1,8,04:00:00,-1.1,-3.2,86,29,17,6.4,99.97,Snow,,
-79.4,43.63,2020,1,8,05:00:00,-1.4,-4.8,78,27,21,16.1,99.95,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,06:00:00,-1.2,-5,75,29,18,16.1,100.09,Snow,,
-79.4,43.63,2020,1,8,07:00:00,-2.4,-7.5,68,29,28,16.1,100.2,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,08:00:00,-3,-8.9,64,29,32,16.1,100.35,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,09:00:00,-3.3,-7.3,74,29,22,16.1,100.49,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,10:00:00,-3.2,-9.9,60,29,26,16.1,100.64,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,11:00:00,-2.9,-11.6,51,32,32,16.1,100.8,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,12:00:00,-3.2,-12.7,48,29,28,16.1,100.9,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,13:00:00,-3.2,-12.7,48,28,41,16.1,100.98,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,14:00:00,-3.7,-13.1,49,31,32,16.1,101.12,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,15:00:00,-4.6,-12.5,54,30,34,16.1,101.31,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,16:00:00,-5,-13.9,50,30,30,16.1,101.53,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,17:00:00,-5.4,-13.4,54,29,32,16.1,101.72,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,18:00:00,-6.1,-14.2,53,30,22,16.1,101.89,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,19:00:00,-6.8,-14.6,54,31,26,16.1,102.05,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,20:00:00,-6.8,-14.5,55,28,24,16.1,102.18,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,21:00:00,-7,-14,58,29,22,16.1,102.32,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,22:00:00,-6.9,-14.3,56,30,28,16.1,102.39,No Precipitation or Fog,,
-79.4,43.63,2020,1,8,23:00:00,-6.8,-13.9,57,28,24,16.1,102.53,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,00:00:00,-7.1,-14.2,57,28,22,16.1,102.59,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,01:00:00,-7.5,-14.4,58,30,11,16.1,102.61,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,02:00:00,-7.8,-14.9,57,33,8,16.1,102.68,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,03:00:00,-8.2,-14.4,61,31,8,16.1,102.75,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,04:00:00,-8.6,-14.1,65,,4,16.1,102.77,No Precipitation or Fog,MISSING VALUE,
-79.4,43.63,2020,1,9,05:00:00,-8.7,-12.9,72,7,13,16.1,102.83,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,06:00:00,-9.1,-12.7,75,6,15,16.1,102.9,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,07:00:00,-9.5,-12.7,78,6,18,16.1,102.94,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,08:00:00,-9,-11.4,83,7,21,16.1,102.93,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,09:00:00,-7.3,-9,88,6,21,11.3,102.93,Snow,,
-79.4,43.63,2020,1,9,10:00:00,-4.8,-8.2,77,13,21,14.5,102.89,Snow,,
-79.4,43.63,2020,1,9,11:00:00,-4.7,-9.2,71,12,17,16.1,102.83,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,12:00:00,-3.8,-9.1,67,13,18,16.1,102.68,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,13:00:00,-4.1,-8.8,70,11,18,16.1,102.51,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,14:00:00,-3.8,-8.8,69,10,24,16.1,102.33,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,15:00:00,-3.2,-8.1,69,9,22,16.1,102.28,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,16:00:00,-2.6,-8.5,64,10,18,16.1,102.17,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,17:00:00,-2,-8.4,62,9,24,16.1,102.05,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,18:00:00,-1.3,-7.3,64,9,26,16.1,101.96,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,19:00:00,-0.5,-6.3,65,9,30,16.1,101.79,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,20:00:00,0.5,-5.8,63,9,24,16.1,101.69,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,21:00:00,1.1,-4.8,65,9,18,16.1,101.55,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,22:00:00,1.6,-4.9,62,10,13,16.1,101.43,No Precipitation or Fog,,
-79.4,43.63,2020,1,9,23:00:00,2,-5.4,58,11,5,16.1,101.39,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,00:00:00,2,-3.8,66,10,9,16.1,101.26,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,01:00:00,2.7,-2.2,70,11,5,16.1,101.16,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,02:00:00,3.1,-1.1,74,7,8,16.1,101.11,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,03:00:00,5.3,1.2,75,22,8,16.1,101.16,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,04:00:00,5,1.5,78,22,15,16.1,101.17,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,05:00:00,5.7,2.5,80,21,22,16.1,101.18,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,06:00:00,4.4,3.7,95,21,21,16.1,101.25,Rain,,
-79.4,43.63,2020,1,10,07:00:00,4.4,3.4,93,22,34,16.1,101.26,Rain,,
-79.4,43.63,2020,1,10,08:00:00,4.4,3.5,94,22,26,16.1,101.29,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,09:00:00,4.4,3.7,95,22,22,16.1,101.39,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,10:00:00,4.3,3.7,96,21,21,16.1,101.41,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,11:00:00,4.4,3.7,95,21,21,16.1,101.41,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,12:00:00,4.6,3.9,95,21,21,16.1,101.37,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,13:00:00,4.6,4,96,21,18,16.1,101.29,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,14:00:00,4.6,4.2,97,21,15,16.1,101.27,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,15:00:00,4.6,4.3,98,26,5,16.1,101.27,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,16:00:00,4.6,4.2,97,26,5,16.1,101.33,No Precipitation or Fog,,
-79.4,43.63,2020,1,10,17:00:00,5,4.6,97,25,5,6.4,101.38,Fog,,
-79.4,43.63,2020,1,10,18:00:00,5,4.9,99,27,5,3.2,101.4,"Rain,Fog",,
-79.4,43.63,2020,1,10,19:00:00,5,4.9,99,19,4,8.1,101.39,Fog,,
-79.4,43.63,2020,1,10,20:00:00,5.5,5.4,99,,4,3.2,101.38,Fog,MISSING VALUE,
-79.4,43.63,2020,1,10,21:00:00,5.8,5.7,100,,0,0.4,101.39,Fog,MISSING VALUE,
-79.4,43.63,2020,1,10,22:00:00,5.6,5.6,100,6,4,0.4,101.35,Fog,,
-79.4,43.63,2020,1,10,23:00:00,4.5,4.5,100,7,8,0.6,101.23,"Rain,Fog",,
-79.4,43.63,2020,1,11,00:00:00,4.9,4.9,100,6,11,0.8,101.09,"Rain,Fog",,
-79.4,43.63,2020,1,11,01:00:00,5.6,5.6,100,7,13,1,100.93,"Rain,Fog",,
